Task ID,Portal,Category,Title,Description,Priority,Story Points,Status,Dependencies
1,HRMS Admin,Dashboard,"Dashboard Performance Optimization","Optimize dashboard loading time by implementing lazy loading and caching for non-critical data",High,8,To Do,
2,HRMS Admin,Dashboard,"Real-time Attendance Widget","Add real-time attendance counter widget that updates every 30 seconds without full page refresh",High,5,To Do,
3,HRMS Admin,Dashboard,"Dashboard Export Functionality","Add export to PDF/Excel for dashboard reports and KPIs",Medium,8,To Do,
4,HRMS Admin,Dashboard,"Custom Dashboard Widgets","Allow admins to customize dashboard layout and add/remove widgets",Low,13,To Do,
5,HRMS Admin,Dashboard,"Attendance Trend Charts","Implement interactive charts showing attendance trends over time (line charts, bar charts)",Nice to Have,13,To Do,
6,HRMS Admin,Employee Management,"Bulk Employee Import","Create CSV/Excel import functionality for adding multiple employees at once",High,8,To Do,
7,HRMS Admin,Employee Management,"Employee Profile Photo Upload","Add profile photo upload and management for employees",Medium,5,To Do,6
8,HRMS Admin,Employee Management,"Employee Document Management","Create document upload and management system for employee files (contracts, certificates, etc.)",Low,13,To Do,6
9,HRMS Admin,Employee Management,"Employee Search & Filters","Enhance employee search with advanced filters (department, status, date joined, etc.)",Nice to Have,3,To Do,
10,HRMS Admin,Employee Management,"Employee Export","Add export functionality to export employee data to CSV/Excel/PDF",Medium,8,To Do,
11,HRMS Admin,Attendance Management,"Attendance Regularization Approval","Build approval workflow for attendance regularization requests from employees",High,8,To Do,2
12,HRMS Admin,Attendance Management,"Bulk Attendance Marking","Allow admins to mark attendance for multiple employees at once",Medium,5,To Do,2
13,HRMS Admin,Attendance Management,"Attendance Reports Generation","Create comprehensive attendance reports (daily, weekly, monthly) with filters",Low,13,To Do,2
14,HRMS Admin,Attendance Management,"Shift Management","Implement shift creation, assignment, and management system",Nice to Have,13,To Do,
15,HRMS Admin,Attendance Management,"Holiday Calendar Management","Create holiday calendar with ability to add/edit/delete holidays",Medium,8,To Do,
16,HRMS Admin,Leave Management,"Leave Balance Management","Add manual leave balance adjustment functionality for admins",High,5,To Do,15
17,HRMS Admin,Leave Management,"Leave Policy Configuration","Create leave policy configuration page (leave types, accrual rules, etc.)",Medium,8,To Do,15
